filename,length_cm,diameter_cm,weight_est_g,ratio_ld,ratio,length_norm,diameter_norm,weight_norm,ratio_norm,fuzzy_score,final_grade,label_asli
A_01.jpg,14.832,12.274,509.607,1.2085,1.2084080168479383,0.9956704388507728,0.8383360808694585,0.7799154764172407,0.589460555586521,80.87090468460849,A,A
A_02.jpg,13.729,13.429,564.745,1.0223,1.0223397124862357,0.8774648490143321,0.9580909721444848,0.8676616259059023,0.0523973313720005,40.59244001053511,A,A
A_03.jpg,14.876,13.588,626.488,1.0948,1.094789520084281,1.0,0.974576710423904,0.9659189168464232,0.2615147702383727,54.563205791128375,A,A
A_04.jpg,14.709,14.25,681.231,1.0322,1.0322105262433536,0.9824888544900454,1.0,1.0,0.0808882185233854,43.40374014749866,A,A
A_05.jpg,14.391,14.241,665.694,1.0105,1.0105329681194766,0.9484096363867016,1.0,1.0,0.018318619154782,42.0991845939552,A,A
A_06.jpg,13.403,12.944,512.19,1.0354,1.035460444913824,0.8425282920907785,0.9078042861978288,0.7840260408941752,0.0902687081537142,37.45245758113854,A,A
A_07.jpg,13.906,13.809,604.781,1.007,1.007024404301034,0.8964334704114761,0.9974908497934112,0.9313745796025916,0.0081915821875818,41.03177150803692,A,A
A_08.jpg,13.976,13.703,598.565,1.02,1.0199226446019178,0.9039351850883128,0.9865003576071316,0.9214824894792372,0.0454207628717917,41.54839859045295,A,A
A_09.jpg,14.285,12.609,517.994,1.133,1.1329209294049551,0.9370498970189204,0.8730701835336436,0.7932624776824553,0.3715763828480911,72.11211604083444,A,A
A_10.jpg,12.829,12.662,469.118,1.0132,1.013189069577224,0.7810142317407178,0.8785654296267835,0.7154816223302874,0.0259851285994308,33.36162850737835,A,A
A_11.jpg,13.853,12.865,522.912,1.0768,1.07679751254747,0.8907536007275855,0.8996132590023941,0.8010889415220077,0.2095830583277411,44.24414780075831,A,A
A_12.jpg,12.935,12.538,463.805,1.0317,1.0316637421413573,0.792373971108499,0.8657086274466073,0.7070265588126905,0.0793099936141254,32.018473688837354,A,A
A_13.jpg,13.279,13.024,513.716,1.0196,1.0195792382509536,0.8292395403775249,0.9160989972818132,0.7864545044604941,0.0444295627708543,36.66449158033185,A,A
A_14.jpg,13.059,12.882,494.289,1.0137,1.0137401023898664,0.8056627228217524,0.9013758851077408,0.7555385400418313,0.027575616888239,34.413310991817234,A,A
A_15.jpg,13.782,13.182,546.255,1.0455,1.0455166134846368,0.8831447186982228,0.9324810516726828,0.8382367954070566,0.1192945991264543,41.24897283558195,A,A
A_16.jpg,17.047,16.35,1039.373,1.0426,1.0426299693551908,1.0,1.0,1.0,0.1109626566785537,44.37012142055728,A,A
A_17.jpg,17.462,16.703,1111.119,1.0454,1.0454409386909274,1.0,1.0,1.0,0.1190761731627161,44.67148502559432,A,A
A_18.jpg,16.324,13.853,714.471,1.1783,1.178372915528884,1.0,1.0,1.0,0.502767938005269,91.66666666666666,A,A
A_19.jpg,15.106,13.112,592.318,1.1521,1.1520744355436183,1.0,0.9252231794741962,0.9115410662165933,0.4268606172969992,91.33292217519498,A,A
A_20.jpg,15.6,14.832,782.765,1.0518,1.051779935204168,1.0,1.0,1.0,0.1373729052007938,45.435366952910805,A,A
A_21.jpg,14.868,14.726,735.404,1.0096,1.0096428085692215,0.9995284635417172,1.0,1.0,0.0157492833414347,42.42261313510919,A,A
A_22.jpg,20.479,16.156,1219.173,1.2676,1.2675786084880185,1.0,1.0,1.0,0.7602491744967435,91.66666666666666,A,A
A_23.jpg,19.659,17.197,1326.027,1.1432,1.1431645053705202,1.0,1.0,1.0,0.4011432021643907,91.66666666666666,A,A
A_24.jpg,20.991,16.438,1293.7,1.277,1.2769801678259534,1.0,1.0,1.0,0.7873856166113565,91.66666666666666,A,A
A_25.jpg,11.594,11.559,353.306,1.0031,1.0030279435069618,0.6486625513708136,0.764202100556347,0.5311793795108001,0.0,36.73550665556623,A,A
A_26.jpg,12.018,10.835,321.801,1.1091,1.109183202481847,0.6941015088419388,0.6891349652462874,0.4810425874682834,0.3030603601940355,45.84703297697809,B,A
A_27.jpg,12.812,12.026,422.641,1.0653,1.065358390066077,0.7791923867477717,0.8126224765091065,0.6415185154024966,0.1765654413665032,29.53233224695118,A,A
A_28.jpg,12.697,11.603,389.875,1.0943,1.0942859604331392,0.7668681412072542,0.7687641916525385,0.5893749785650072,0.2600613073782994,31.8369688701384,A,A
A_29.jpg,13.024,12.874,492.278,1.0117,1.0116513903206732,0.8019118654833342,0.9005464139993424,0.752338251554369,0.0215468069725208,34.13134894565359,A,A
A_30.jpg,13.024,12.944,497.691,1.0061,1.0061804696379648,0.8019118654833342,0.9078042861978288,0.7609524542309645,0.005755668813033,34.69033306808955,A,A
A_31.jpg,13.632,12.185,461.668,1.1188,1.1187525645368277,0.8670696158192868,0.8291082147885258,0.7036257549848899,0.3306811441666423,52.95603691696092,A,A
A_32.jpg,12.75,12.644,464.915,1.0084,1.0083834228876634,0.772548010891145,0.8766991196328869,0.7087930034775752,0.0121142218139625,33.73922765768676,A,A
A_33.jpg,12.741,12.706,469.143,1.0028,1.002754604045116,0.7715835047184088,0.8831275207229746,0.7155214071200371,0.0,34.36190839199337,A,A
A_34.jpg,13.068,12.415,459.364,1.0526,1.0525976640312045,0.8066272289944886,0.852955509154981,0.6999591887615615,0.1397331786599839,32.099832314799855,A,A
A_35.jpg,14.4,12.415,506.2,1.1599,1.1598872330922363,0.9493741425594378,0.852955509154981,0.7744936052701574,0.4494112943507295,79.06501286828572,A,A
