filename,length_cm,diameter_cm,weight_est_g,ratio_ld
B_55.jpg,11.647,11.303,339.38,1.0304
B_56.jpg,11.665,10.5,293.318,1.1109
B_57.jpg,11.656,10.791,309.577,1.0801
B_58.jpg,12.035,10.615,309.285,1.1338
B_59.jpg,11.603,10.491,291.275,1.106
B_60.jpg,12.397,12.256,424.712,1.0115
B_61.jpg,10.668,10.659,276.423,1.0008
B_62.jpg,13.182,10.359,322.627,1.2726
B_63.jpg,4.641,3.697,14.469,1.2554
B_64.jpg,3.997,3.494,11.13,1.1439
B_65.jpg,3.988,3.944,14.15,1.0112
B_66.jpg,4.235,4.015,15.57,1.0549
B_67.jpg,11.903,9.185,229.048,1.2959
B_68.jpg,11.347,9.406,228.965,1.2064
B_69.jpg,11.435,9.891,255.17,1.1561
B_70.jpg,11.003,9.829,242.466,1.1194
C_01.jpg,11.832,10.888,319.943,1.0867
C_02.jpg,11.797,11.012,326.268,1.0713
C_03.jpg,11.374,10.271,273.635,1.1074
C_04.jpg,11.718,9.529,242.694,1.2296
C_05.jpg,11.621,10.271,279.579,1.1314
C_06.jpg,11.771,10.2,279.309,1.154
C_07.jpg,9.671,9.582,202.527,1.0092
C_08.jpg,10.059,8.629,170.843,1.1656
C_09.jpg,9.821,9.256,191.893,1.061
C_10.jpg,9.821,8.109,147.279,1.2111
C_11.jpg,9.821,9.397,197.792,1.0451
C_12.jpg,9.935,8.85,177.482,1.1226
C_13.jpg,8.841,8.568,148.02,1.0319
C_14.jpg,10.924,10.315,265.072,1.059
C_15.jpg,11.347,9.185,218.351,1.2354
C_16.jpg,11.435,9.741,247.489,1.1739
C_17.jpg,11.082,8.665,189.769,1.279
C_18.jpg,10.606,9.829,233.716,1.079
C_19.jpg,11.638,9.997,265.288,1.1642
C_20.jpg,10.694,8.762,187.247,1.2205
C_21.jpg,10.068,9.918,225.856,1.0151
C_22.jpg,11.338,10.271,272.786,1.104
C_23.jpg,9.75,9.485,200.075,1.0279
C_24.jpg,10.915,10.606,280.022,1.0291
C_25.jpg,11.585,10.2,274.912,1.1358
C_26.jpg,10.606,9.274,208.029,1.1437
C_27.jpg,12.644,8.418,204.341,1.5021
C_28.jpg,12.344,9.494,253.779,1.3002
C_29.jpg,13.085,10.624,336.828,1.2317
C_30.jpg,13.041,8.947,238.102,1.4576
C_31.jpg,13.765,10.262,330.596,1.3414
C_32.jpg,12.618,11.735,396.326,1.0752
C_33.jpg,13.456,10.518,339.497,1.2794
C_34.jpg,12.6,8.841,224.635,1.4251
C_35.jpg,12.265,11.038,340.834,1.1111
C_36.jpg,10.129,10.024,232.12,1.0106
C_37.jpg,16.279,10.641,420.44,1.5299
C_38.jpg,16.368,12.512,584.4,1.3082
C_39.jpg,13.606,12.159,458.771,1.119
C_40.jpg,11.462,11.365,337.64,1.0085
C_41.jpg,9.494,9.141,180.944,1.0386
C_42.jpg,11.674,9.503,240.439,1.2284
C_43.jpg,11.744,9.282,230.793,1.2652
C_44.jpg,11.779,8.832,209.586,1.3337
C_45.jpg,11.418,10.253,273.754,1.1136
C_46.jpg,11.197,9.062,209.708,1.2356
C_47.jpg,12.141,8.585,204.107,1.4142
C_48.jpg,9.882,9.459,201.661,1.0448
C_49.jpg,9.821,9.309,194.095,1.055
C_50.jpg,9.785,9.026,181.843,1.0841
C_51.jpg,9.468,9.238,184.292,1.0248
C_52.jpg,9.274,9.097,175.038,1.0194
C_53.jpg,8.974,8.832,159.662,1.016
C_54.jpg,9.706,8.974,178.258,1.0816
C_55.jpg,8.824,8.771,154.805,1.006
C_56.jpg,8.806,8.797,155.43,1.001
C_57.jpg,11.832,11.576,361.668,1.0221
C_58.jpg,12.071,9.0,222.997,1.3412
C_59.jpg,12.662,9.397,255.014,1.3474
C_60.jpg,12.591,9.741,272.506,1.2926
C_61.jpg,12.768,9.274,250.431,1.3768
C_62.jpg,10.668,10.121,249.211,1.0541
C_63.jpg,11.568,11.241,333.392,1.029
C_64.jpg,12.494,10.747,329.133,1.1626
C_65.jpg,12.459,10.897,337.429,1.1433
C_66.jpg,12.062,9.521,249.359,1.2669
C_67.jpg,11.894,8.912,215.45,1.3347
C_68.jpg,11.744,9.574,245.5,1.2267
C_69.jpg,11.621,9.609,244.712,1.2094
C_70.jpg,12.221,11.329,357.761,1.0787
